barrier_sequence,sequence_length,reward_path_lengths,choice_points
"[frozenset({35, 7, 40, 14, 18, 20, 27, 28, 31}), frozenset({7, 40, 14, 18, 20, 25, 27, 28, 31}), frozenset({7, 40, 14, 46, 18, 20, 25, 28, 31}), frozenset({7, 40, 46, 14, 17, 18, 20, 28, 31})]",4,"[[17, 17, 23], [21, 17, 15], [15, 17, 21], [23, 17, 17]]","[{13}, {29}, {13}, {29}]"
"[frozenset({34, 37, 9, 13, 45, 18, 19, 27, 30}), frozenset({34, 37, 8, 13, 45, 18, 19, 27, 30}), frozenset({34, 37, 8, 13, 45, 18, 19, 25, 27}), frozenset({34, 37, 13, 45, 18, 19, 20, 25, 27}), frozenset({34, 37, 45, 13, 46, 18, 19, 20, 25}), frozenset({34, 37, 13, 45, 46, 17, 18, 19, 25})]",6,"[[17, 19, 21], [19, 17, 21], [19, 17, 15], [17, 19, 15], [15, 19, 17], [21, 17, 17]]","[{21}, {20}, {35}, {36}, {26}, {35}]"
"[frozenset({36, 39, 8, 10, 42, 15, 21, 24, 27}), frozenset({39, 8, 42, 10, 15, 21, 24, 27, 30}), frozenset({34, 39, 8, 10, 42, 15, 21, 27, 30}), frozenset({34, 39, 8, 10, 42, 15, 20, 27, 30}), frozenset({34, 39, 8, 10, 42, 15, 26, 27, 30})]",5,"[[19, 17, 23], [19, 25, 17], [19, 15, 19], [17, 25, 19], [21, 15, 19]]","[{16}, {31}, {16, 24, 31}, {31}, {24}]"
"[frozenset({32, 34, 8, 41, 15, 16, 21, 23, 27})]",1,"[[17, 21, 15]]",[{31}]
"[frozenset({32, 35, 7, 11, 44, 20, 26, 28, 31})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({37, 40, 8, 10, 18, 20, 22, 24, 28})]",1,"[[19, 19, 15]]","[{36, 21, 30}]"
"[frozenset({37, 10, 12, 45, 13, 15, 22, 25, 29}), frozenset({37, 40, 10, 12, 45, 15, 22, 25, 29}), frozenset({37, 8, 40, 10, 45, 15, 22, 25, 29}), frozenset({37, 8, 10, 45, 15, 19, 22, 25, 29}), frozenset({34, 37, 8, 10, 45, 15, 19, 22, 25}), frozenset({34, 37, 40, 8, 10, 45, 15, 22, 25})]",6,"[[17, 19, 15], [17, 17, 21], [19, 15, 21], [19, 21, 15], [19, 17, 15], [19, 15, 17]]","[{36}, {17}, {16}, {36}, {16, 35, 36}, {16, 24, 36}]"
"[frozenset({32, 35, 37, 8, 9, 44, 16, 21, 29})]",1,"[[19, 23, 17]]",[{36}]
"[frozenset({32, 34, 8, 40, 45, 13, 15, 17, 25}), frozenset({32, 34, 8, 13, 45, 15, 17, 19, 25})]",2,"[[19, 15, 17], [19, 17, 15]]","[{24}, {35}]"
"[frozenset({34, 37, 7, 40, 11, 44, 16, 22, 25})]",1,"[[17, 21, 17]]",[{36}]
"[frozenset({35, 39, 7, 9, 14, 20, 23, 27, 31})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({35, 39, 8, 10, 42, 11, 19, 22, 25})]",1,"[[17, 15, 19]]",[{16}]
"[frozenset({36, 37, 10, 45, 14, 15, 18, 25, 29}), frozenset({36, 37, 9, 10, 45, 15, 18, 25, 29})]",2,"[[17, 15, 19], [15, 17, 19]]","[{16}, {17}]"
"[frozenset({34, 36, 8, 9, 46, 15, 21, 25, 27})]",1,"[[17, 15, 21]]",[{13}]
"[frozenset({34, 10, 45, 15, 18, 25, 26, 28, 31}), frozenset({34, 40, 10, 45, 15, 18, 25, 26, 31})]",2,"[[19, 17, 15], [19, 15, 17]]","[{35}, {24}]"
"[frozenset({32, 8, 41, 19, 21, 24, 25, 27, 29})]",1,"[[17, 21, 15]]",[{31}]
"[frozenset({32, 36, 39, 10, 11, 45, 15, 21, 27})]",1,"[[19, 15, 21]]",[{16}]
"[frozenset({39, 9, 44, 46, 17, 22, 23, 24, 30}), frozenset({39, 9, 44, 46, 17, 20, 22, 23, 30})]",2,"[[17, 23, 17], [23, 17, 17]]","[{31}, {29}]"
"[frozenset({32, 34, 37, 8, 45, 19, 21, 25, 31}), frozenset({32, 34, 37, 8, 45, 19, 20, 21, 25})]",2,"[[19, 17, 15], [19, 21, 15]]","[{35}, {36}]"
"[frozenset({37, 39, 8, 42, 11, 13, 23, 24, 30})]",1,"[[17, 23, 19]]",[{26}]
"[frozenset({35, 9, 11, 44, 20, 22, 23, 26, 27})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({37, 39, 10, 46, 14, 19, 20, 24, 30})]",1,"[[17, 23, 19]]",[{26}]
"[frozenset({37, 39, 9, 10, 12, 15, 18, 25, 29})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({32, 34, 8, 41, 12, 45, 16, 21, 28}), frozenset({32, 34, 36, 8, 41, 12, 45, 21, 28})]",2,"[[17, 21, 15], [17, 17, 23]]","[{31}, {13}]"
